ID;NAME;STATUS;PREFIXES AS URL;PREFIXES AS LRU;HOME PAGE;START PAGES;CRAWLED;CRAWLING STATUS;INDEXING STATUS;INDEGREE;OUTDEGREE;NEIGHBOORS COUNT;TOTAL KNOWN PAGES;CRAWLED PAGES;CREATION TIMESTAMP;CREATION DATE;LAST MODIFICATION TIMESTAMP;LAST MODIFICATION DATE;Press (TAGS);HigherEd (TAGS);National Orgs (TAGS);AfroLatinAmericanWeb (TAGS);Arts&Entertainement (TAGS);Latin American Web (TAGS);AfricanWeb (TAGS);AfricanAmericanWeb (TAGS);Web Commons (TAGS);other (TAGS);createdBy (TECHNICAL INFO);mergedWebEntities (TECHNICAL INFO);recrawlNeeded (TECHNICAL INFO)
93;Havanatimes.org;IN;http://havanatimes.org http://www.havanatimes.org https://havanatimes.org https://www.havanatimes.org;s:https|h:org|h:havanatimes| s:https|h:org|h:havanatimes|h:www| s:http|h:org|h:havanatimes| s:http|h:org|h:havanatimes|h:www|;http://calendar.havanatimes.org;;FALSE;UNCRAWLED;UNINDEXED;4;0;4;60;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-08T17:12:57.209Z;press;;;;;;;;;;;;
95;Juventudrebelde.cu;IN;http://juventudrebelde.cu http://www.juventudrebelde.cu https://juventudrebelde.cu https://www.juventudrebelde.cu;s:https|h:cu|h:juventudrebelde| s:https|h:cu|h:juventudrebelde|h:www| s:http|h:cu|h:juventudrebelde| s:http|h:cu|h:juventudrebelde|h:www|;http://www.juventudrebelde.cu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;18;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T15:07:28.606Z;press;;;;;;;;;;;;
96;Ucr.edu;IN;http://ucr.edu http://www.ucr.edu https://ucr.edu https://www.ucr.edu;s:https|h:edu|h:ucr| s:https|h:edu|h:ucr|h:www| s:http|h:edu|h:ucr| s:http|h:edu|h:ucr|h:www|;http://www.ucr.edu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T14:12:08.708Z;;edu;;;;;;;;;;;
97;Unesco.org;IN;http://unesco.org http://www.unesco.org https://unesco.org https://www.unesco.org;s:https|h:org|h:unesco| s:https|h:org|h:unesco|h:www| s:http|h:org|h:unesco| s:http|h:org|h:unesco|h:www|;http://www.unesco.org;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;6;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-13T13:15:35.861Z;;;int'l orgs;;;;;;;;;;
98;Villagevoice.com;IN;http://villagevoice.com http://www.villagevoice.com https://villagevoice.com https://www.villagevoice.com;s:https|h:com|h:villagevoice| s:https|h:com|h:villagevoice|h:www| s:http|h:com|h:villagevoice| s:http|h:com|h:villagevoice|h:www|;http://www.villagevoice.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-08T17:18:11.723Z;press;;;;;;;;;;;;
99;Cubadebate.cu;IN;http://cubadebate.cu http://www.cubadebate.cu https://cubadebate.cu https://www.cubadebate.cu;s:https|h:cu|h:cubadebate| s:https|h:cu|h:cubadebate|h:www| s:http|h:cu|h:cubadebate| s:http|h:cu|h:cubadebate|h:www|;http://www.cubadebate.cu;;FALSE;UNCRAWLED;UNINDEXED;3;0;3;29;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T15:07:28.627Z;press;;;;;;;;;;;;
100;Timba.com;IN;http://timba.com http://www.timba.com https://timba.com https://www.timba.com;s:https|h:com|h:timba| s:https|h:com|h:timba|h:www| s:http|h:com|h:timba| s:http|h:com|h:timba|h:www|;http://www.timba.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-14T14:27:34.916Z;;;;;music & dance service & prod;;;;;;;;
101;Ahs.cu;IN;http://ahs.cu http://www.ahs.cu https://ahs.cu https://www.ahs.cu;s:https|h:cu|h:ahs| s:https|h:cu|h:ahs|h:www| s:http|h:cu|h:ahs| s:http|h:cu|h:ahs|h:www|;http://www.ahs.cu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;3;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T15:07:28.614Z;press;;Cuban govt;;;;;;;;;;
102;Claridadpuertorico.com;IN;http://claridadpuertorico.com http://www.claridadpuertorico.com https://claridadpuertorico.com https://www.claridadpuertorico.com;s:https|h:com|h:claridadpuertorico| s:https|h:com|h:claridadpuertorico|h:www| s:http|h:com|h:claridadpuertorico| s:http|h:com|h:claridadpuertorico|h:www|;http://www.claridadpuertorico.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-13T13:59:40.374Z;press;;;;;;;;;;;;
103;Radiorebelde.cu;IN;http://radiorebelde.cu http://www.radiorebelde.cu https://radiorebelde.cu https://www.radiorebelde.cu;s:https|h:cu|h:radiorebelde| s:https|h:cu|h:radiorebelde|h:www| s:http|h:cu|h:radiorebelde| s:http|h:cu|h:radiorebelde|h:www|;http://www.radiorebelde.cu;;FALSE;UNCRAWLED;UNINDEXED;2;0;2;11;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T14:51:26.540Z;radio;;;;;;;;;;;;
