Repo Name,Title,Comments,URL,Date Created,Date Closed,State,Type,Days to Close
epiparameter,"Add testthat state inspector",0,https://github.com/epiverse-trace/epiparameter/pull/223,2023-12-11T17:43:52Z,2024-01-19T16:08:59Z,closed,Pull Request,38
epiparameter,"Accept dynamic dots in `convert_params_to_summary_stats()`",0,https://github.com/epiverse-trace/epiparameter/issues/222,2023-12-11T14:03:14Z,null,open,Issue,N/A
epiparameter,"Update documentation for `accessor` S3 generics and methods",2,https://github.com/epiverse-trace/epiparameter/pull/221,2023-12-11T13:49:50Z,2024-01-19T15:31:07Z,closed,Pull Request,39
epiparameter,"Add internal function to `<epidist>` attributes to load {epiparameter}",0,https://github.com/epiverse-trace/epiparameter/pull/220,2023-12-06T09:50:27Z,2023-12-06T10:49:09Z,closed,Pull Request,0
epiparameter,"Add option to create discretised normal distribution",0,https://github.com/epiverse-trace/epiparameter/pull/219,2023-12-05T16:08:30Z,2023-12-05T16:26:20Z,closed,Pull Request,0
epiparameter,"Add `as.function()` method for `<epidist>`",0,https://github.com/epiverse-trace/epiparameter/pull/215,2023-11-29T14:09:10Z,2023-11-29T14:27:08Z,closed,Pull Request,0
epiparameter,"Add BibTeX example to `get_citation()`",0,https://github.com/epiverse-trace/epiparameter/pull/214,2023-11-29T09:34:23Z,2023-11-29T12:28:53Z,closed,Pull Request,0
epiparameter,"Move {jsonlite} to suggested dependency",0,https://github.com/epiverse-trace/epiparameter/pull/213,2023-11-28T16:34:36Z,2023-11-28T17:09:53Z,closed,Pull Request,0
epiparameter,"Improve storing and handling citation author information",0,https://github.com/epiverse-trace/epiparameter/pull/212,2023-11-28T15:02:00Z,2023-11-28T15:41:52Z,closed,Pull Request,0
epiparameter,"Remove double assignment in `epidist_db()` test",0,https://github.com/epiverse-trace/epiparameter/pull/211,2023-11-17T14:04:32Z,2023-11-17T14:21:43Z,closed,Pull Request,0
epiparameter,"Add COVID-19 parameters and add normal distribution `<epidist>`",0,https://github.com/epiverse-trace/epiparameter/pull/210,2023-11-17T12:09:24Z,2023-11-17T13:48:55Z,closed,Pull Request,0
